period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2002-03-31;0;497675.271112078;544047.869980905;1137289.76803902;2.09042224184967;0;12.1283063910119;0.462126967645042;0;348514.721554745;348514.721554745;812788.25023496;2.33214897381971;0;8.1914254338416;0.473582716055031;0;886339.076612263;886339.076612263;1586207.59943998;1.78961713558059;0.00533424192151021;13.4078460657885;0.637109402193237
2002-04-07;0;575135.380976014;498021.980517003;1199142.30264788;2.40780999546051;0.00176411566027193;12.7483966817869;0.550393564906045;0;526647.05398115;526647.05398115;955481.345608632;1.81427264879912;0;9.24243082896803;0.80702818942217;0;817969.586459552;817969.586459552;1700466.22942646;2.0788868652032;0.00437553705903037;13.3010708503466;0.615046504932258
2002-04-14;0;794761.721933742;800334.170418887;600436.105281059;0.750231750028612;0.0104583354724695;14.0333707919054;0.866128681225171;0;483775.528221066;483775.528221066;962029.300466872;1.98858611969158;0;12.1264748635168;0.687917681376731;0;858210.898333091;858210.898333091;1673429.72612546;1.94990500514009;0.00542902269758246;13.4284662937232;0.590409156679782
2002-04-21;0;804358.7469017;801676.425408548;743473.032834999;0.927397899290992;0.0242178450806631;14.9505087954732;0.872944345773359;0;473210.833246686;473210.833246686;1116373.18311183;2.35914544781746;0.0270460532251229;16.5576169025429;0.591794451867409;0;875290.754578188;875290.754578188;1517457.29097094;1.73366082417061;0.00579215450394417;13.476270685195;0.578889839060693
2002-04-28;0;772062.644709474;773963.796352061;997932.943721756;1.28937935911904;0.05;20.523874963838;0.851446521451919;0;450655.772067075;450655.772067075;1066338.30445362;2.36619249224862;0.0446525068744846;20.4343782353354;0.596908106492703;0;837665.043663263;837665.043663263;1745341.7703573;2.0835795686598;0.00478026473546734;13.3629813510348;0.569966275817211
2002-05-05;0;781758.368205471;774199.086603362;1247085.56972541;1.61080733793777;0.05;27.2734748139383;0.933349418083853;0;480273.623986095;480273.623986095;1087500.4513947;2.26433515621543;0.0455289868999657;20.6828800048732;0.57869263194636;0;853372.461689439;853372.461689439;1619048.91116528;1.89723594778301;0.00385725868398351;13.2619138341015;0.559115345518191
2002-05-12;0;649262.512012639;648859.081342353;1413121.14717705;2.17785523515152;0.05;34.1270252089425;0.886406590777728;0;534456.897643822;534456.897643822;1060170.29554929;1.98364040247791;0.0412582002533887;19.5684930504652;0.547544686028391;0;862798.759407778;862798.759407778;1446886.16874228;1.67696829992595;0.00312527663471519;13.1838460597406;0.545614886451677
2002-05-19;0;705512.491232095;708536.940045075;1361180.21470358;1.92111397130117;0.05;37.9155029767825;0.825686782922509;0;538010.146770378;538010.146770378;1008739.54003488;1.87494519590429;0.0437868595452739;20.2254058192459;0.547678128205427;0;855821.844941712;855821.844941712;1540488.07369635;1.8000102273637;0.00274662777750921;13.1462461611006;0.542888533158475
2002-05-26;0;890431.973094525;860809.141875365;1497137.69226395;1.73922141324182;0.05;36.9129640120602;0.841630040886426;0;630356.024534532;630356.024534532;1170485.12450834;1.85686354845685;0.05;22.2228854123507;0.54999324513824;0;652264.593964715;652264.593964715;1284743.34424067;1.96966592411755;0.00215747334814574;13.0854715322339;0.542077168122746
2002-06-02;0;1034056.6603823;1005445.49420562;1763095.12649209;1.75354620081626;0.05;34.3791758664818;0.896907075798322;0;686721.76747167;686721.76747167;1303447.76292229;1.89807258873014;0.05;24.9626189363521;0.619362546341594;0;638020.628640254;638020.628640254;1301265.39091705;2.03953498132232;0.00154070689541493;13.0222654609356;0.535036357483185
2002-06-09;0;1185903.03740832;1136727.3341356;1920261.39982383;1.68928936795916;0.05;30.7951090673937;0.998185056791657;0;1014221.14724349;1014221.14724349;1868519.25790979;1.84231936297932;0.05;22.5496750704396;0.939070069055917;0;799273.268043662;799273.268043662;1711949.59925344;2.14188271733857;0.000873053840969123;12.9536189691483;0.597289318526081
2002-06-16;0;1095229.74507849;1053271.06532942;1961932.74019854;1.86270448774259;0.05;26.9832565930794;0.98995032389537;0;1020084.00117561;1020084.00117561;1853556.36344461;1.81706247849044;0.0371379002796132;18.6298489664735;0.974499777752289;0;827495.342140579;827495.342140579;1855538.19705473;2.24235485393161;8.06515090070771E-05;12.8728885059913;0.620778464326255
2002-06-23;0;1145758.87293263;1121048.58633024;2057277.53727019;1.83513681954205;0.05;23.3742627383568;0.974827503218062;0;872088.430099033;872088.430099033;1811247.89942915;2.07690853004834;0.0210049789591374;15.5996909736658;0.953363415119686;0;972886.943183526;972886.943183526;1948533.24983827;2.00283626323753;0;12.7853954122728;0.628217850475826
